개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
미네르바인문 (글로벌),1,Y12101601,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,나영남,3,3,월 1 2 3 (2313),44 / 45,48,
미네르바인문 (글로벌),1,Y12101602,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,나영남,3,3,월 7 8 9 (2313),45 / 45,60,
미네르바인문 (글로벌),1,Y12101603,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,나영남,3,3,수 1 2 3 (2313),45 / 45,66,
미네르바인문 (글로벌),1,Y12101604,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,나영남,3,3,수 4 5 6 (2313),44 / 45,81,
미네르바인문 (글로벌),1,Y12101605,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박남용,3,3,월 1 2 3 (2406),43 / 45,29,
미네르바인문 (글로벌),1,Y12101606,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박남용,3,3,월 7 8 9 (2406),43 / 45,44,
미네르바인문 (글로벌),1,Y12101607,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박남용,3,3,목 1 2 3 (2406),40 / 45,21,
미네르바인문 (글로벌),1,Y12101608,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박남용,3,3,목 7 8 9 (2406),41 / 45,39,
미네르바인문 (글로벌),1,Y12101609,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,양선이,3,3,월 4 5 6 (2213),45 / 45,83,
미네르바인문 (글로벌),1,Y12101610,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,양선이,3,3,월 7 8 9 (2213),45 / 45,81,
미네르바인문 (글로벌),1,Y12101611,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,양선이,3,3,수 4 5 6 (2213),45 / 45,114,
미네르바인문 (글로벌),1,Y12101612,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,양선이,3,3,목 4 5 6 (2213),43 / 45,91,
미네르바인문 (글로벌),1,Y12101613,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,이정은,3,3,화 1 2 3 (2413),45 / 45,36,
미네르바인문 (글로벌),1,Y12101614,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,이정은,3,3,화 4 5 6 (2413),44 / 45,56,
미네르바인문 (글로벌),1,Y12101615,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,이정은,3,3,수 1 2 3 (2506),45 / 45,32,
미네르바인문 (글로벌),1,Y12101616,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,이정은,3,3,수 4 5 6 (2506),44 / 45,78,
미네르바인문 (글로벌),1,Y12101617,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,조준래,3,3,화 1 2 3 (2303),44 / 45,37,
미네르바인문 (글로벌),1,Y12101618,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,조준래,3,3,화 7 8 9 (2303),44 / 45,69,
미네르바인문 (글로벌),1,Y12101619,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,조준래,3,3,수 4 5 6 (2309),45 / 45,79,
미네르바인문 (글로벌),1,Y12101620,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,조준래,3,3,목 4 5 6 (2309),44 / 45,84,
미네르바인문 (글로벌),1,Y12101621,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박소영,3,3,목 1 2 3 (2517),43 / 45,56,
미네르바인문 (글로벌),1,Y12101622,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,박소영,3,3,목 7 8 9 (2517),44 / 45,84,
미네르바인문 (글로벌),1,Y12101623,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,진은경,3,3,화 1 2 3 (2513),45 / 45,29,
미네르바인문 (글로벌),1,Y12101624,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,진은경,3,3,화 7 8 9 (2513),43 / 45,51,
미네르바인문 (글로벌),1,Y12101625,미네르바인문(1)읽기와 쓰기,있음,N,N,N,N,N,최재유,3,3,월 7 8 9 (2413),45 / 45,36,
