개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
경상대학 (글로벌),,Q02008101,경영학원론,있음,N,Y,N,N,N,현재훈,3,3,,259 / 300,166,비대면* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
경상대학 (글로벌),,Q02009101,경제학개론,있음,N,N,N,N,N,김용식,3,3,수 1 2 3 (4411),65 / 65,91,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
경상대학 (글로벌),,Q02009102,경제학개론,있음,N,N,N,N,N,민윤지,3,3,수 4 5 6 (4419),69 / 69,87,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
경상대학 (글로벌),,Q02009103,경제학개론,있음,N,N,N,N,N,이천영,3,3,목 4 5 6 (4411),63 / 66,90,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02012101,미적분학및연습1,있음,N,N,N,N,N,최일규,3,4,화 1 2 목 1 2 (3311),64 / 67,52,수학과 수강(타과생 수강가능) * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02012102,미적분학및연습1,있음,N,N,N,N,N,정미연,3,4,월 1 2 수 5 6 (0310),48 / 60,37,통계학과 수강(타과생 수강가능) * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02012103,미적분학및연습1,있음,N,N,N,N,N,정미연,3,4,월 7 8 (0310) 목 5 6 (0311),55 / 60,56,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02012104,미적분학및연습1,있음,N,N,N,N,N,임재용,3,4,목 1 2 5 6 (2404),23 / 60,27,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02013101,일반물리1,있음,N,N,N,N,N,박윤규,3,3,화 1 2 목 3 (2214-1),62 / 90,49,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02015101,일반생물학1,있음,N,N,N,N,N,박중찬,3,3,화 1 2 목 2 (0518),50 / 55,43,생명공학과 * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02015102,일반생물학1,있음,N,N,N,N,N,이기원,3,3,화 1 2 목 2 (0416),46 / 55,40,생명공학과 * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02015103,일반생물학1,있음,N,N,N,N,N,남인영,3,3,화 3 4 목 1 (0518),65 / 65,61,타과생(생명공학과 수강금지) * 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02014101,일반화학1,있음,N,N,N,Y,N,김도윤,3,3,월 5 6 목 7 (0403),42 / 50,28,화학과 25학번 전용 * 2.24.(월) 수강신청 가능
자연과학대학 (글로벌),,Q02014102,일반화학1,있음,N,N,N,N,N,김연규,3,3,금 4 5 6 (2303-2),34 / 50,23,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02014103,일반화학1,있음,N,N,N,N,N,김보정,3,3,월 1 2 (0517) 목 2 (0516),18 / 50,16,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
자연과학대학 (글로벌),,Q02014104,일반화학1,있음,N,N,N,N,N,김보정,3,3,월 3 4 (0517) 목 1 (0516),48 / 50,36,* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
공과대학(공과계열) (글로벌),,Q02019101,AI공학개론,있음,N,N,N,N,N,신기철,3,3,월 8 수 5 6 (0518),54 / 60,32,반도체전자공학부(전자공학전공)전용반* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
공과대학(공과계열) (글로벌),,Q02019102,AI공학개론,있음,N,N,N,N,N,신기철,3,3,화 7 목 7 8 (0518),46 / 50,46,반도체전자공학부(반도체공학전공)전용반* 신편입생 2.24.(월) 수강신청 가능/재학생 수강신청 변경기간(3.4.~3.10.) 수강신청 가능
