개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
대학외국어 (글로벌),1,Y13106301,대학독일어2,있음,N,N,N,N,N,김백기,3,3,수 1 2 3 (2403),25 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13108301,대학러시아어2,있음,N,N,N,N,N,전미라,3,3,화 7 8 9 (2403),7 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13122301,대학말레이.인도네시아어2,있음,N,N,N,N,N,최신영,3,3,화 1 2 3 (2310),10 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13110301,대학스페인어2,있음,N,N,N,Y,Y,최민지,3,3,금 1 2 8 (1309),8 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13110302,대학스페인어2,있음,N,N,N,Y,Y,김선이,3,3,금 5 6 7 (1309),24 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13120301,대학아랍어2,있음,N,N,N,N,N,강원구,3,3,화 1 2 3 (2403),6 / 30,0,본인 국적과 동일한 언어 수강금지
대학외국어 (글로벌),1,Y13102401,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,수 3 4 금 1 (0409),18 / 30,0,진리(한승훈)
대학외국어 (글로벌),1,Y13102402,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,수 5 6 금 2 (0409),29 / 30,0,진리(한승훈)
대학외국어 (글로벌),1,Y13102403,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,수 7 8 금 5 (0410),9 / 30,0,진리(한승훈)
대학외국어 (글로벌),1,Y13102404,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,수 7 금 1 2 (0411),19 / 30,0,진리(박수진)
대학외국어 (글로벌),1,Y13102405,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,수 8 금 3 4 (0409),20 / 30,0,진리(박수진)
대학외국어 (글로벌),1,Y13102406,대학영어2,있음,N,N,N,Y,Y,Ryan Richard Fitzgerald,3,3,금 4 5 6 (0411),30 / 30,0,진리(한승훈)
대학외국어 (글로벌),1,Y13102407,대학영어2,있음,N,N,N,Y,Y,Sheila May Tabor,3,3,월 3 4 수 1 (0409),30 / 30,0,평화(이진환)
대학외국어 (글로벌),1,Y13102408,대학영어2,있음,N,N,N,Y,Y,Sheila May Tabor,3,3,월 1 금 1 2 (0509),16 / 30,0,평화(이진환)
대학외국어 (글로벌),1,Y13102410,대학영어2,있음,N,N,N,Y,Y,Sheila May Tabor,3,3,월 1 2 (0512) 수 2 (0409),28 / 30,0,평화(이진환)
대학외국어 (글로벌),1,Y13102411,대학영어2,있음,N,N,N,Y,Y,Molly Clare Fleming,3,3,수 5 6 (0513) 금 2 (0512),30 / 30,0,평화(이진환)
대학외국어 (글로벌),1,Y13102412,대학영어2,있음,N,N,N,Y,Y,Molly Clare Fleming,3,3,수 7 8 금 3 (0512),30 / 30,0,평화(이진환)
대학외국어 (글로벌),1,Y13102413,대학영어2,있음,N,N,N,Y,Y,Molly Clare Fleming,3,3,월 7 금 3 4 (0513),12 / 30,0,평화(이정현)
대학외국어 (글로벌),1,Y13102414,대학영어2,있음,N,N,N,Y,Y,Molly Clare Fleming,3,3,월 8 금 5 6 (0513),10 / 30,0,평화(김정민)
대학외국어 (글로벌),1,Y13102415,대학영어2,있음,N,N,N,Y,Y,Billy Joseph Fitzgerald,3,3,월 5 수 1 2 (0509),28 / 30,0,평화(김정민)
대학외국어 (글로벌),1,Y13102416,대학영어2,있음,N,N,N,Y,Y,Billy Joseph Fitzgerald,3,3,월 6 수 3 4 (0509),29 / 30,0,평화(김정민)
대학외국어 (글로벌),1,Y13102417,대학영어2,있음,N,N,N,Y,Y,Billy Joseph Fitzgerald,3,3,수 5 6 목 3 (0509),30 / 30,0,평화(김윤경)
대학외국어 (글로벌),1,Y13102418,대학영어2,있음,N,N,N,Y,Y,James Iain Finnie,3,3,수 3 4 목 4 (0511),29 / 30,0,평화(김윤경)
