개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
대학외국어 (서울),1,Y13101301,Communicative English(1) : L/S,있음,N,N,N,Y,N,Chris Kobylinski,3,3,목 4 5 6 (3402),30 / 30,34,진리 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101302,Communicative English(1) : L/S,있음,N,N,N,Y,N,Chris Kobylinski,3,3,목 1 2 3 (3402),30 / 30,31,진리 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101303,Communicative English(1) : L/S,있음,N,N,N,Y,N,Chris Kobylinski,3,3,화 9 10 11 (1310),29 / 30,33,진리 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101304,Communicative English(1) : L/S,있음,N,N,N,Y,N,Chris Kobylinski,3,3,수 1 2 3 (1608),30 / 30,21,진리 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101305,Communicative English(1) : L/S,있음,N,N,N,Y,N,Chris Kobylinski,3,3,수 4 5 6 (1608),30 / 30,25,진리 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101306,Communicative English(1) : L/S,있음,N,N,N,Y,N,Todd Robert Hull,3,3,월 7 화 7 8 (2208),30 / 30,27,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101307,Communicative English(1) : L/S,있음,N,N,N,Y,N,Todd Robert Hull,3,3,월 8 수 7 8 (2208),30 / 30,25,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101308,Communicative English(1) : L/S,있음,N,N,N,Y,N,Todd Robert Hull,3,3,월 9 10 11 (2208),27 / 30,21,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101309,Communicative English(1) : L/S,있음,N,N,N,Y,N,Todd Robert Hull,3,3,화 9 10 11 (2208),29 / 30,26,평화(14학번 이전 학생 수강 가능) /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101310,Communicative English(1) : L/S,있음,N,N,N,Y,N,Todd Robert Hull,3,3,수 9 10 11 (2208),29 / 30,39,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101311,Communicative English(1) : L/S,있음,N,N,N,Y,N,이중원,3,3,화 4 5 6 (3505),29 / 30,54,평화(14학번 이전 학생 수강 가능)/  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101312,Communicative English(1) : L/S,있음,N,N,N,Y,N,이중원,3,3,목 4 5 6 (3307),29 / 30,48,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101313,Communicative English(1) : L/S,있음,N,N,N,Y,N,이중원,3,3,수 1 2 3 (2203),30 / 30,23,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101314,Communicative English(1) : L/S,있음,N,N,N,Y,N,이중원,3,3,수 7 8 9 (2507),30 / 30,27,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
대학외국어 (서울),1,Y13101315,Communicative English(1) : L/S,있음,N,N,N,Y,N,Ji Won Lee,3,3,월 7 8 9 (1605),30 / 30,22,평화 /  원어강의(영어) / 편입학생 수강 제한 / 외국인 수강제한 / 타대생 수강 제한
