개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
아시아언어문화대학(특수외국어(인도.아세안지역)계열) (서울),,Q01007101,인도동남아시아언어와사회,있음,N,N,N,N,Y,신근혜,2,2,월 5 6 (1606),39 / 40,16,
아시아언어문화대학(특수외국어(인도.아세안지역)계열) (서울),,Q01008101,인도동남아시아역사와지리,있음,N,N,N,N,Y,박경은,2,2,월 3 4 (1506),36 / 40,18,
아시아언어문화대학(특수외국어(중동지역)계열) (서울),,Q01011102,중동지역언어와문화,있음,N,N,N,N,Y,윤은경,2,2,월 5 6 (1307),29 / 40,10,
아시아언어문화대학(특수외국어(중동지역)계열) (서울),,Q01010102,중동지역역사와문명,있음,N,N,N,N,Y,유달승,2,2,화 7 8 (1310),40 / 40,20,
중국학대학 (서울),,Q01027101,중국역사의이해,있음,N,N,N,N,N,이익희,3,3,금 1 2 3 (1604),41 / 40,16,
중국학대학 (서울),,Q01027102,중국역사의이해,있음,N,N,N,N,N,이익희,3,3,금 4 5 6 (1604),36 / 40,21,
일본학대학 (서울),,Q01015101,현대일본의이해(1),있음,N,N,N,N,N,이창민,3,3,금 1 2 3 (1504),43 / 45,25,일본언어문화학부 1전공 학생(25학번 및 24 학번이전)및 이중전공  학생 수강제한
일본학대학 (서울),,Q01015102,현대일본의이해(1),있음,N,N,N,N,N,문창학,3,3,월 4 5 6 (1604),40 / 40,28,융합일본지역학부 1전공 학생(25학번 및 24 학번이전)및 이중전공  학생 수강제한
일본학대학 (서울),,Q01015103,현대일본의이해(1),있음,N,N,N,N,N,홍영주(76),3,3,월 4 5 6 (3302),35 / 40,19,융합일본지역학부 1전공 학생(25학번 및 24 학번이전)및 이중전공  학생 수강제한
사회과학대학 (서울),,Q01020101,사회과학적글쓰기,있음,N,N,N,N,N,최정화,3,3,목 1 2 3 (1603),57 / 60,69,
