개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
(글로벌) - AI데이터융합전공,1,M01103101,AI의철학과윤리,있음,Y,N,N,Y,N,이승일,2,2,수 5 6 (0209),84 / 110,0,
(글로벌) - AI데이터융합전공,1,M01105101,AI프로그래밍,있음,N,N,N,N,N,최재걸,3,3,화 4 5 6 (0214),50 / 55,0,
(글로벌) - AI데이터융합전공,1,M01104101,빅데이터분석기초,있음,N,N,N,N,N,장혜진,3,3,월 7 8 9 (2515),39 / 55,0,
(글로벌) - AI데이터융합전공,1,M01102101,확률과통계,있음,Y,N,N,N,N,정석오,3,3,목 7 8 9 (0209),77 / 110,0,"AI데이터,Finance&AI 학부,전공만 신청가능"
(글로벌) - AI데이터융합전공,2,M01206101,딥러닝기초,있음,N,N,N,N,N,최재걸,3,3,목 4 5 6 (0601),18 / 25,0,
(글로벌) - AI데이터융합전공,2,M01205101,빅데이터모델링,있음,N,N,N,N,N,장혜진,3,3,월 3 4 수 5 (0305),6 / 25,0,
(글로벌) - AI융합전공,2,V41006201,자료구조,있음,N,N,N,N,N,이민나,3,3,금 4 5 6 (0214),44 / 80,0,
(글로벌) - AI융합전공,2,V41005201,확률과통계,있음,N,N,N,N,N,최원근,3,3,월 1 2 3 (0516),35 / 60,0,
(글로벌) - AI융합전공(Business&AI),3,V41019101,AI 마케팅,있음,N,N,N,N,N,신진호,3,3,화 4 5 6 (0509),13 / 60,0,
(글로벌) - AI융합전공(Business&AI),3,V41032101,소셜콘텐츠분석,있음,N,N,N,N,N,이정,3,3,목 1 2 3 (4207),21 / 40,0,
(글로벌) - AI융합전공(Business&AI),4,V41027201,Business AI 프로젝트실습(캡스톤디자인),있음,N,N,Y,N,N,이용웅,3,3,화 10 11 12 (0305),5 / 60,0,
(글로벌) - AI융합전공(Software&AI),2,V44301801,컴퓨터구조,있음,N,N,N,N,N,고석훈,3,3,수 10 11 12 (0301),21 / 60,0,
(글로벌) - AI융합전공(Software&AI),3,V41029101,기계학습,있음,N,N,N,N,N,윤일동,3,3,수 1 2 3 (0301),40 / 50,0,
(글로벌) - AI융합전공(Software&AI),3,F05454701,소프트웨어공학,있음,N,N,N,N,N,Walid Abdullah Al,3,3,월 7 8 9 (5311),29 / 60,0,
(글로벌) - AI융합전공(Software&AI),4,V41024101,빅데이터,있음,N,N,N,N,N,박민규,3,3,화 4 5 6 (0310),32 / 50,0,
(글로벌) - AI융합전공(Software&AI),4,T07405201,정보보안,있음,N,N,N,N,N,김승태,3,3,목 7 8 9 (0214),60 / 65,0,
(글로벌) - CORE글로벌지역학,1,N00305201,동유럽문화세미나,있음,N,N,N,N,Y,송은지,2,2,화 3 4 (2313),31 / 40,0,동유럽지역
(글로벌) - CORE글로벌지역학,1,J11015101,유럽지성의이해,있음,N,N,N,N,N,신상우,2,2,수 5 6 (2404),8 / 40,0,EU지역
(글로벌) - CORE글로벌지역학,1,J11014101,유럽통합사,있음,N,N,N,N,N,김일곤,2,2,수 3 4 (2406),8 / 40,0,EU지역
(글로벌) - CORE글로벌지역학,1,J11018101,이베로아메리카지성사(2),있음,N,N,N,N,N,김선이,3,3,금 1 2 3 (1303),5 / 40,0,중남미지역
(글로벌) - CORE글로벌지역학,1,J11017101,이슬람사상의이해(2),있음,N,N,N,N,N,정진한,3,3,수 7 8 9 (2403-1),6 / 40,0,중동.북아프리카지역
(글로벌) - CORE글로벌지역학,1,J11016101,중동의사회와문화(2),있음,N,N,N,N,N,이경수,3,3,월 1 2 3 (2509),6 / 40,0,중동.북아프리카지역
(글로벌) - Finance & AI융합전공,2,M02206101,금융시계열분석,있음,N,N,N,N,N,이용웅,3,3,화 7 8 9 (4207),10 / 50,0,
(글로벌) - Finance & AI융합전공,2,M02205101,알기쉬운R프로그래밍,있음,N,N,N,N,N,이선순,3,3,월 1 2 3 (2515),8 / 50,0,
